"MONTH","P_TC","P_PFPR","P_TACT","FREQ_plasmepsin_95","FREQ_plasmepsin_50","FREQ_plasmepsin_05","FREQ_580Y_95","FREQ_580Y_50","FREQ_580Y_05","FREQ_mdr1_95","FREQ_mdr1_50","FREQ_mdr1_05","FREQ_184F_95","FREQ_184F_50","FREQ_184F_05","FREQ_86Y_95","FREQ_86Y_50","FREQ_86Y_05","FREQ_76T_95","FREQ_76T_50","FREQ_76T_05"
70,0.25,0.001,"ASMQ_PPQ",0.17044215,0.0152501,0,0.35884605,0.08758495,0.007566063,0.25586775,0.03767885,0,0.26291075,0.0463636,0,0.93495215,0.6176225,0.2089104,0.97483665,0.698153,0.3367563
71,0.25,0.001,"ASMQ_PPQ",0.1717542,0.01704765,0,0.36196545,0.08478985,0.0069543405,0.27055325,0.03469295,0,0.2720947,0.0408607,0,0.9354858,0.6106165,0.2108827,0.97606355,0.7158735,0.3408189
72,0.25,0.001,"ASMQ_PPQ",0.18185825,0.0162514,0,0.35286755,0.09262755,0.0061499125,0.29126535,0.03699915,0,0.31555325,0.0448414,0,0.9425782,0.609183,0.20740885,0.9693062,0.7095115,0.2905061
73,0.25,0.001,"ASMQ_PPQ",0.18200355,0.01715415,0,0.3665232,0.08726505,0.006109342,0.2760661,0.03555575,0,0.28440005,0.04268155,0,0.93222335,0.6133105,0.1786474,0.9713041,0.7290625,0.28882365
74,0.25,0.001,"ASMQ_PPQ",0.1771553,0.01959605,0,0.36319965,0.0874837,0.0040905605,0.27741545,0.03431275,0,0.28572525,0.04147555,0,0.93970955,0.6088895,0.17768215,0.9655605,0.719127,0.3128138
75,0.25,0.001,"ASMQ_PPQ",0.17298325,0.01862835,0,0.35243945,0.08745805,0.004053479,0.27832085,0.0372918,0,0.28761735,0.04057545,0,0.94129425,0.6121245,0.1624992,0.97086015,0.734143,0.3064536
76,0.25,0.001,"ASMQ_PPQ",0.17798,0.01917425,0,0.34446755,0.0937092,0.003257003,0.27911135,0.035661,0,0.30502115,0.04615065,0,0.9494596,0.6239415,0.13423305,0.97209875,0.7371835,0.3094358
77,0.25,0.001,"ASMQ_PPQ",0.1830667,0.0221373,0,0.3547124,0.0941215,0.0040777215,0.27519085,0.0361287,0,0.3080102,0.0436515,0,0.95797225,0.6133705,0.1094312,0.9709464,0.7328175,0.3304803
78,0.25,0.001,"ASMQ_PPQ",0.17071835,0.02285415,0,0.3339409,0.09352095,0.0049578455,0.2642488,0.03751235,0,0.2957323,0.0382181,0,0.96477055,0.614893,0.1305011,0.9682761,0.7178985,0.3551083
79,0.25,0.001,"ASMQ_PPQ",0.1806472,0.01792975,0,0.34378765,0.0928531,0.0030701165,0.2608967,0.0362223,0,0.29264885,0.0413813,0,0.94665415,0.608171,0.1260335,0.9594167,0.727118,0.33248575
80,0.25,0.001,"ASMQ_PPQ",0.184584,0.0164481,0,0.36254185,0.08707285,0.0031482655,0.23813945,0.0341327,0,0.3050093,0.0399858,0,0.94438565,0.6110705,0.15511965,0.96557205,0.703211,0.342309
81,0.25,0.001,"ASMQ_PPQ",0.1740222,0.01707325,0,0.37521355,0.0909404,0.0026653685,0.23767385,0.0340844,0,0.30005385,0.03996165,0,0.92432535,0.6207895,0.13094435,0.9639058,0.702454,0.3368752
82,0.25,0.001,"ASMQ_PPQ",0.1911053,0.0177148,0,0.385472,0.088267,0.0030600275,0.2446465,0.0393749,0,0.3149652,0.0422067,0,0.93291395,0.6117205,0.1186889,0.96342135,0.7071615,0.35879465
